岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位
519,1,[818],[4885],[1358 1358],[329 1046],[0 20 13 11],0,[],[],2,[13638 1061],1,8,[73]
418,0,[],[],[1357 1012],[1125 121],[4 18],0,[],[],2,[16761 9665],30,11,[760]
518,0,[],[],[1860 0 1288],[544 544 446],[12 25 18],0,[],[],3,[8057 6485 7370],16,9,[665]
328,1,[2451],[3458],[1357 1357],[1155 1155],[7 21],0,[],[],3,[17502 18115 17359],26,5,[624]
418,0,[],[],[1538 1252],[544 233],[12 18],0,[],[],2,[668 12943],42,13,[737]
519,0,[],[],[171 47],[1063 679],[4 24],0,[],[],2,[5811 5816],9,7,[88]
517,0,[],[],[740 1292],[1342 679],[7 24],0,[],[],4,[6072 2888 3989 1975],9,34,[]
331,2,[1134 532],[4095 2241],[1475 1475 1293],[542 131 542],[13 12 22 26 11],0,[],[],2,[12959 11594],26,0,[]
519,0,[],[],[1255 1264],[427 427],[13 12 26 11],4,[0 225 458 458],[965 963 964 965],4,[16130 9733 6748 7125],14,16,[]
328,0,[],[],[54 54],[1321 1321],[12 24],0,[],[],3,[922 5710 15729],32,7,[624]
328,0,[],[],[1538 1265],[1342 1025],[7 26 11],0,[],[],1,[14899],19,14,[550]
328,1,[2610],[3279],[1358 1357],[542 998],[13 12 24],0,[],[],0,[],24,19,[]
328,0,[],[],[1358 1384],[559 21],[8 5 13 12 26 11],0,[],[],2,[1492 11176],15,13,[244]
328,1,[0],[2972],[0 0],[465 1119],[13 12 26 11],0,[],[],1,[16677],27,7,[633]
328,0,[],[],[784 1288],[233 750],[4 26 11],0,[],[],4,[2405 9376 482 8855],30,6,[]
331,2,[2613 0],[252 252],[1255 1324],[1046 679],[5 13 12 24],0,[],[],3,[1636 16981 12119],12,0,[]
328,0,[],[],[1255 1255 0],[679 679 679],[12 25 24],0,[],[],2,[9041 8745],14,3,[624]
417,0,[],[],[293],[679],[11],0,[],[],1,[17832],49,2,[]
417,3,[3016 1573 190],[4531 3745 3729],[0 481],[966 518],[12 24],0,[],[],0,[],4,12,[]
430,2,[2040 625],[5125 5087],[913 913],[1306 1306],[13 12 26 11],0,[],[],4,[5569 10658 3754 15456],0,16,[]
418,1,[0],[2067],[0 1288],[573 457],[12 24],0,[],[],0,[],8,7,[]
418,0,[],[],[871 1265],[1046 784],[5 13 12 24],0,[],[],2,[5544 5545],41,8,[]
418,0,[],[],[1286 1286 1286],[250 842 542],[8 5 13 12 22 26 11],0,[],[],3,[3815 3817 3816],22,11,[737]
517,2,[34 2598],[2918 4449],[1358 1346],[1179 370],[12 18],0,[],[],4,[11276 17185 3633 13531],0,2,[]
342,2,[819 2492],[4366 267],[865 290],[213 784],[13 12 24],0,[],[],3,[10218 4757 12673],17,12,[135]
418,1,[1279],[361],[1357 1357],[475 328],[12 18],0,[],[],2,[3018 12124],22,3,[]
342,1,[690],[2332],[1357 1357],[544 1164],[12 18],0,[],[],1,[8836],19,0,[145]
342,3,[673 673 673],[471 2689 2798],[2026 294],[213 442],[13 12 24],0,[],[],2,[13250 7050],5,7,[]
328,1,[1634],[4502],[1358 1353],[784 817],[12 18],0,[],[],4,[6825 8250 15788 14451],18,8,[]
518,0,[],[],[1336 1326],[750 445],[13 12 24],0,[],[],4,[5853 15032 5621 8610],31,5,[]
332,0,[],[],[1336 1326],[1025 1025],[13 12 26 11],0,[],[],2,[5567 4133],12,4,[294]
412,3,[0 2501 2120],[5379 5219 4191],[375 375 400],[106 250 1344],[7 23 5 13 12 18],0,[],[],2,[7964 4417],3,6,[422]
328,2,[0 1310],[5462 3674],[0 0],[461 300],[13 12 18],0,[],[],1,[5613],26,13,[613]
516,0,[],[],[0 282 0 0],[1064 503 503 1063],[0 20 13 12 20 13 12 18],0,[],[],0,[],5,5,[601]
418,0,[],[],[1538 285],[510 782],[4 18],0,[],[],2,[998 15846],32,4,[]
418,0,[],[],[513 1787],[250 250],[8 5 13 12 23 5 13 11],0,[],[],2,[9659 2265],10,4,[718]
519,0,[],[],[1357 1357],[1321 1164],[12 18],0,[],[],5,[12188 9173 13097 12571 7824],8,13,[]
516,1,[2562],[4650],[1264 1353],[151 21],[0 26 11],0,[],[],3,[1816 14041 13722],19,2,[]
418,1,[1639],[1821],[1538 1336],[696 203],[13 12 24],3,[826 458 458],[1478 589 586],2,[10439 15167],7,8,[]
418,0,[],[],[1357],[352],[13 11],0,[],[],2,[17468 9052],23,0,[]
417,2,[2191 1737],[4489 521],[387 375],[250 467],[8 5 13 12 24],3,[211 211 886],[2921 1724 231],3,[5577 4019 4018],9,6,[]
519,2,[2378 2802],[2189 3590],[1995 0 293],[726 726 998],[13 12 26 12 24],2,[458 458],[2208 350],0,[],15,10,[]
418,0,[],[],[219 1351],[321 523],[12 18],0,[],[],3,[14849 9054 3963],30,5,[]
418,0,[],[],[1255 952],[1119 1300],[13 12 24],1,[729],[2791],2,[13487 13472],16,6,[232]
518,0,[],[],[1357 1351],[1046 726],[5 13 12 26 11],0,[],[],3,[7131 5582 17563],3,7,[]
430,2,[2013 2013],[267 1658],[481 356 356],[784 798 784],[12 27 24],4,[0 0 675 175],[1762 196 1751 1742],1,[10158],11,7,[]
517,1,[0],[4512],[1336 1248],[1038 788],[12 18],0,[],[],2,[14316 15552],2,5,[466]
340,5,[2215 1915 1850 2040 262],[2444 5408 5409 940 5218],[406 378],[12 967],[7 24],2,[0 0],[2012 2096],0,[],11,0,[]
427,2,[1573 2513],[322 2680],[403],[986],[11],2,[211 211],[2142 2144],0,[],5,5,[]
328,1,[308],[312],[192 1258],[542 542],[13 12 26 11],0,[],[],3,[5666 9929 15825],6,0,[]
331,0,[],[],[263 1255 0],[204 204 204],[4 19 18],0,[],[],0,[],20,3,[36]
418,0,[],[],[1255 1336 1309],[563 785 785],[12 19 18],0,[],[],2,[4526 7307],25,6,[]
516,1,[2451],[2410],[1358 1358],[1138 726],[4 26 11],0,[],[],0,[],7,23,[88]
328,2,[2622 2622],[3993 1459],[1357],[1155],[6],1,[841],[2202],2,[18354 15814],9,8,[]
342,0,[],[],[322 322 1357 1357],[169 1385 455 1211],[0 27 27 14],1,[0],[2682],2,[16803 13304],7,3,[]
328,0,[],[],[1357 1357],[634 634],[0 14],0,[],[],4,[2629 14684 10461 7943],19,0,[]
412,3,[785 0 1891],[4478 1020 4477],[220 1358],[1085 359],[13 12 24],2,[602 0],[2345 853],2,[11832 2489],4,0,[]
517,0,[],[],[1881 294],[427 726],[13 12 26 11],0,[],[],2,[2921 6801],12,2,[]
518,0,[],[],[1357 0],[563 751],[12 18],0,[],[],0,[],15,7,[659]
516,0,[],[],[0 0],[503 21],[5 13 12 26 11],0,[],[],2,[7702 6780],0,8,[]
430,2,[3018 2945],[5027 5501],[1138],[717],[8 5 13 11],2,[458 925],[1576 1572],0,[],8,0,[]
430,2,[2945 2179],[3092 1488],[434],[509],[11],1,[0],[1174],3,[10640 2425 13551],4,0,[]
518,0,[],[],[143],[726],[13 11],0,[],[],2,[8883 4877],52,0,[]
340,2,[0 1258],[3582 3825],[356 368],[666 1025],[13 12 26 11],1,[0],[1388],1,[4728],10,4,[]
430,2,[2960 2039],[3112 5244],[401],[822],[13 11],4,[392 301 0 754],[1909 1881 1965 659],0,[],4,0,[370]
328,0,[],[],[1336 1786],[822 822],[13 12 26 11],0,[],[],4,[2958 7229 7228 6852],8,13,[]
328,0,[],[],[1358 1358],[321 670],[12 26 11],0,[],[],2,[18168 8334],6,6,[]
519,0,[],[],[1357 1265],[1074 1155],[0 21],2,[470 470],[539 2961],1,[12559],4,24,[]
328,0,[],[],[0 1538 1255],[687 465 465],[0 26 12 26 11],0,[],[],1,[18015],12,8,[]
427,3,[2515 1059 1573],[662 3953 321],[396 1574],[1304 1304],[12 24],1,[663],[2808],0,[],7,17,[]
518,2,[0 0],[867 3615],[1357 1357],[250 171],[8 5 13 12 18],0,[],[],1,[6688],23,12,[]
328,0,[],[],[1255 1258],[1321 1321],[12 24],0,[],[],2,[14252 161],29,3,[624]
328,0,[],[],[1538 1265],[1245 1245],[12 24],0,[],[],2,[16676 7868],34,5,[644]
519,1,[2451],[5354],[218 1357],[544 818],[12 18],0,[],[],3,[7844 7060 1131],10,11,[]
418,0,[],[],[1336 1336],[80 670],[7 26 11],0,[],[],3,[7715 15377 15568],15,12,[]
516,1,[0],[1413],[263 1263],[1055 50],[0 18],0,[],[],2,[2307 2308],3,16,[]
418,1,[3059],[623],[1357],[465],[13 11],0,[],[],1,[16800],4,0,[]
331,0,[],[],[1358],[439],[13 11],0,[],[],5,[11054 11055 13136 11260 11259],1,7,[193]
340,1,[0],[4963],[1357 0 1890],[461 461 1245],[13 12 26 12 24],1,[421],[2738],1,[7258],12,0,[]
328,0,[],[],[1357],[822],[13 11],0,[],[],2,[4198 3685],39,3,[]
328,0,[],[],[1357 368],[439 1301],[13 12 24],0,[],[],1,[10316],16,0,[]
328,0,[],[],[1346 1357],[790 352],[4 26 11],4,[458 150 316 0],[1773 842 2549 1771],0,[],11,20,[]
519,0,[],[],[143 1336],[21 21],[13 12 26 11],1,[115],[2048],2,[7072 8595],8,5,[646]
516,0,[],[],[1357 1357],[737 737],[12 24],0,[],[],2,[17895 7011],11,4,[]
418,2,[639 287],[2268 1821],[108 1248],[1257 427],[0 26 11],1,[788],[961],2,[1117 2912],58,15,[]
519,0,[],[],[804 826],[439 872],[13 12 18],0,[],[],3,[7160 6151 14430],12,3,[664]
326,1,[0],[267],[1527 1265],[784 967],[12 24],0,[],[],2,[12403 4265],14,0,[]
328,0,[],[],[1357 1357 0],[1321 1321 1321],[12 25 24],0,[],[],2,[5651 11735],34,19,[624]
517,1,[2446],[4886],[281 1254],[717 569],[8 5 13 12 26 11],0,[],[],1,[11900],7,8,[]
519,2,[2740 1680],[2241 267],[1336 1357],[1321 784],[12 24],0,[],[],3,[15191 10499 6922],16,10,[]
412,4,[2160 1344 1384 1675],[4894 1680 1458 2732],[1293],[1155],[6],0,[],[],0,[],9,7,[281]
430,3,[574 2235 480],[1995 3747 3126],[1370 312],[461 828],[13 12 18],1,[0],[2128],0,[],0,8,[99]
418,1,[2884],[5124],[1357 1353],[1322 401],[4 18],0,[],[],3,[15452 15450 14897],51,2,[737]
517,2,[2431 2427],[2395 1248],[1358 1351 2027],[518 300 395],[12 19 14],0,[],[],2,[17146 10149],20,11,[]
406,1,[287],[4218],[631 1482],[489 679],[7 24],0,[],[],3,[8058 13237 13236],0,9,[92]
328,1,[2613],[1821],[1357 1357],[587 587],[12 24],0,[],[],2,[11756 11126],41,9,[]
418,0,[],[],[1549 151],[1321 1321],[12 24],0,[],[],2,[18337 18339],47,11,[]
340,2,[2411 1945],[3070 275],[397 1315],[1038 1038],[12 24],4,[458 813 458 813],[2298 2615 2604 2288],0,[],15,11,[]
418,0,[],[],[1248 2081 1248],[495 495 495],[12 25 24],0,[],[],3,[9673 1167 3333],28,0,[715]
406,0,[],[],[1358],[1306],[13 11],0,[],[],5,[17374 14020 16427 441 17151],28,18,[]
342,1,[1437],[1821],[1171 1357],[1190 670],[7 26 11],1,[458],[1420],3,[8437 9221 17455],10,11,[277]
328,1,[985],[1875],[302],[503],[5 13 11],0,[],[],5,[18055 17173 16830 10822 16836],11,0,[]
324,0,[],[],[525 1336],[750 750],[13 12 26 11],0,[],[],3,[10865 4241 8373],30,6,[706]
347,2,[1978 1720],[259 2874],[1837 1791 1835],[1282 1092 1092],[7 25 24],1,[590],[448],0,[],19,4,[364]
340,2,[1890 1439],[4879 458],[2095 1258],[195 1104],[7 26 11],0,[],[],0,[],6,6,[]
418,3,[1911 2874 2874],[1087 5252 3937],[1358 2053],[106 563],[7 24],1,[776],[2036],0,[],22,0,[]
328,0,[],[],[0 0],[1342 1342],[7 21],0,[],[],2,[13384 8862],4,1,[]
418,0,[],[],[1358 1358],[1321 1321],[12 24],1,[845],[3009],3,[1791 7622 79],16,7,[]
430,2,[0 358],[140 189],[375 384],[106 31],[7 24],2,[343 0],[5 1624],0,[],5,3,[]
516,0,[],[],[1357 1265],[1063 750],[4 26 11],0,[],[],3,[7283 16177 6159],0,0,[]
516,2,[1723 2819],[2241 2268],[1357 1294],[1342 1342],[7 21],0,[],[],0,[],3,7,[693]
516,1,[0],[1875],[1357 1357],[1119 1119],[13 12 26 11],0,[],[],3,[12823 8787 7413],29,16,[]
417,2,[1947 3073],[3010 431],[383 565 561],[461 978 666],[13 12 23 5 13 12 26 11],0,[],[],0,[],3,2,[]
328,0,[],[],[1596 1326],[750 750],[13 12 26 11],0,[],[],0,[],18,3,[624]
516,0,[],[],[1357 1358 1874],[1063 213 213],[4 26 12 26 11],0,[],[],1,[12917],7,0,[]
517,0,[],[],[1336 1336],[1314 1314],[13 12 26 11],0,[],[],3,[7220 7256 7047],14,0,[88]
332,0,[],[],[1255 1248],[1087 787],[12 18],0,[],[],3,[8039 5775 9556],31,17,[449]
519,0,[],[],[1596],[750],[13 11],1,[183],[1429],2,[11506 2211],31,15,[]
418,0,[],[],[1255 2081],[21 495],[13 12 24],1,[328],[1169],2,[5269 14048],28,8,[550]
516,1,[735],[2976],[1353 1824 1357],[465 465 465],[13 12 26 12 26 11],0,[],[],0,[],6,10,[]
418,1,[0],[631],[1255 1357 293],[591 21 21],[13 12 26 12 26 11],0,[],[],6,[5578 13929 4989 5837 10895 7827],0,2,[]
518,1,[901],[465],[1357 0],[21 1125],[13 12 18],0,[],[],2,[11024 266],27,10,[665]
518,3,[287 2597 287],[3777 3738 3656],[281 1254 1254],[717 843 717],[8 5 13 12 27 23 5 13 11],2,[0 826],[1571 1569],7,[7124 18180 7565 122 15542 17777 17506],2,12,[]
517,1,[850],[4095],[0 0 0],[575 587 587],[0 25 24],1,[411],[1273],2,[12048 6584],17,5,[]
519,0,[],[],[1538 1255],[1119 192],[13 12 18],1,[736],[427],5,[13418 6811 13345 3078 17553],13,9,[671]
519,2,[2778 2755],[1821 1402],[1357 37],[21 1301],[13 12 24],0,[],[],1,[178],0,18,[]
417,0,[],[],[1278 1279],[1342 784],[7 24],3,[576 709 709],[2897 1730 1754],3,[10109 9965 15826],6,11,[283]
516,0,[],[],[1538 1254],[250 1025],[8 5 13 12 26 11],0,[],[],4,[11209 16087 5996 7550],7,18,[]
417,2,[1467 2969],[240 3070],[478 482],[427 1304],[13 12 24],0,[],[],2,[14346 4454],5,17,[]
328,0,[],[],[1358 1358],[1119 1119],[13 12 26 11],1,[631],[2634],7,[3986 1045 7863 1047 7767 13475 11345],60,24,[]
517,0,[],[],[0 1287],[978 408],[8 5 13 12 14],0,[],[],3,[17090 10334 15878],13,3,[]
518,0,[],[],[1530 151],[1046 784],[5 13 12 24],0,[],[],3,[4048 16452 7401],9,8,[]
418,0,[],[],[0 1357],[1342 1321],[7 24],0,[],[],3,[17989 11385 17867],27,7,[]
418,0,[],[],[1357 1357],[696 696],[13 12 26 11],0,[],[],2,[5418 11382],10,8,[]
342,1,[691],[1770],[1357 1358],[461 1321],[13 12 24],1,[817],[1022],3,[12948 3912 697],13,1,[]
516,0,[],[],[1255 1250],[21 21],[13 12 26 11],0,[],[],3,[5913 5807 7380],12,5,[]
417,4,[705 1197 0 550],[387 3155 5538 4356],[1060 397],[106 13],[7 21],0,[],[],1,[4101],16,0,[]
326,0,[],[],[1358 1275],[1155 751],[7 18],0,[],[],3,[11178 7260 13643],46,16,[]
517,2,[2432 2432],[2035 2382],[1255 1353],[1092 547],[12 18],0,[],[],1,[11721],0,0,[]
328,0,[],[],[53 53],[80 80],[7 21],0,[],[],3,[8130 8794 16337],4,6,[]
328,1,[2591],[2638],[1347 1260],[167 461],[7 26 11],0,[],[],3,[11503 17632 11509],28,6,[538]
331,1,[1134],[1258],[219 378],[963 784],[4 24],0,[],[],2,[17728 1433],24,2,[198]
418,3,[201 201 870],[2280 2390 4400],[325 1293],[591 1114],[13 12 18],3,[393 176 178],[1292 923 2458],3,[973 16243 975],3,12,[101]
328,0,[],[],[1336 1288],[1342 21],[7 26 11],0,[],[],2,[6989 1230],26,6,[]
412,4,[1205 2409 0 0],[2098 1736 605 1700],[1748 476],[1233 270],[5 7 18],0,[],[],2,[17630 10139],3,4,[]
331,0,[],[],[1357],[1314],[13 11],0,[],[],1,[599],22,0,[38]
418,0,[],[],[1357 1357],[293 293],[12 24],1,[197],[2958],3,[550 13355 13368],18,8,[]
516,1,[287],[412],[1358 1346],[542 1321],[13 12 24],0,[],[],3,[4626 5452 14716],3,9,[]
340,1,[2841],[1873],[481],[1162],[11],0,[],[],3,[17402 8632 6913],24,12,[346]
328,0,[],[],[1538 1351],[21 21],[13 12 26 11],3,[282 104 0],[58 78 64],2,[14620 16113],20,10,[]
340,4,[345 1094 2783 2597],[845 412 2460 5491],[17],[601],[0],0,[],[],2,[923 5486],0,0,[]
418,0,[],[],[1357 378],[1314 730],[13 12 24],0,[],[],3,[6857 13914 4169],25,2,[]
418,1,[0],[1769],[1255 1254],[986 931],[12 24],0,[],[],2,[593 13688],5,2,[]
331,0,[],[],[1350],[495],[11],0,[],[],2,[4893 13131],13,0,[198]
418,1,[0],[4285],[1265 1265],[514 510],[4 18],0,[],[],2,[12117 4993],18,6,[718]
347,3,[2484 2482 2482],[1165 3974 5467],[606 606 1377 1290 0],[59 0 530 530 59],[7 27 27 27 21],0,[],[],0,[],30,5,[289]
328,1,[0],[4628],[164 1265],[503 503],[5 13 12 20 13 11],1,[0],[969],2,[6249 8573],8,4,[]
517,0,[],[],[293 294],[750 1],[13 12 18],0,[],[],5,[7880 304 12411 10107 2530],8,9,[]
516,1,[2819],[4879],[1538 1265],[587 587],[12 24],0,[],[],2,[633 6796],11,7,[61]
517,0,[],[],[1286 1285],[666 457],[13 12 24],0,[],[],3,[6522 6304 6292],15,10,[164]
328,0,[],[],[0 1265],[21 21],[13 12 26 11],0,[],[],3,[473 12039 5875],12,16,[12]
418,0,[],[],[1358 1358],[1155 1130],[7 24],0,[],[],2,[8723 9278],21,7,[232]
328,2,[2613 2613],[3714 1835],[1255 1265],[80 346],[7 18],0,[],[],2,[9964 5772],17,7,[406]
519,1,[2372],[226],[1596 1596 284],[1128 1119 445],[0 26 12 24],0,[],[],3,[1751 13480 6634],12,9,[]
331,1,[52],[884],[1743 1255],[514 514],[4 18],0,[],[],1,[16320],48,2,[207]
418,1,[2304],[2788],[1255 1336],[457 784],[12 24],0,[],[],0,[],5,5,[]
328,0,[],[],[871 1294],[382 382],[8 5 13 12 23 5 13 11],0,[],[],3,[4323 17355 4324],36,8,[624]
418,0,[],[],[1255 1336],[726 390],[13 12 24],0,[],[],2,[3343 3551],29,8,[22]
517,3,[2830 2830 2990],[1875 170 5478],[610 1357],[920 920],[7 21],0,[],[],4,[1381 387 4123 10738],30,0,[]
412,2,[2242 2847],[427 75],[546 476],[183 331],[7 18],1,[792],[2633],2,[5568 15145],5,2,[]
516,0,[],[],[249 1335 0],[1063 1155 1063],[4 22 18],0,[],[],2,[1408 8089],12,7,[88]
331,2,[1134 1134],[479 2488],[1288],[45],[11],0,[],[],2,[18128 1617],23,0,[195]
418,0,[],[],[1357 1357],[717 755],[8 5 13 12 18],0,[],[],1,[16847],20,2,[]
418,0,[],[],[143 143 1255],[222 213 213],[0 26 12 26 11],0,[],[],2,[9250 9256],23,2,[232]
418,1,[0],[5453],[1255 1336],[1155 787],[7 18],0,[],[],4,[6953 5891 12586 433],22,12,[737]
406,0,[],[],[1255 1288],[1046 679],[5 13 12 24],0,[],[],1,[7058],19,4,[]
519,1,[2388],[2452],[281 973],[717 1025],[8 5 13 12 26 11],0,[],[],3,[2139 10858 11019],4,7,[]
519,0,[],[],[978 1263],[518 518],[12 24],0,[],[],4,[4652 6579 8944 1741],18,8,[655]
517,1,[2819],[3508],[1881 290],[666 666],[13 12 26 11],0,[],[],2,[10652 12757],12,6,[]
418,0,[],[],[1255],[994],[0],0,[],[],2,[14679 15068],36,7,[244]
517,1,[2429],[448],[1358 1310],[726 321],[13 12 24],0,[],[],2,[15482 16758],18,0,[88]
517,0,[],[],[1890 1542],[1314 1314],[13 12 26 11],1,[458],[2830],4,[7015 6235 6152 9976],15,17,[671]
519,0,[],[],[1358 1258],[726 726],[13 12 26 11],0,[],[],1,[17421],12,1,[664]
516,0,[],[],[1551 905],[1056 1081],[0 26 11],0,[],[],2,[951 974],20,6,[]
406,3,[2139 516 2993],[1821 881 3379],[1357 1358 1357],[184 184 184],[12 25 24],1,[929],[1795],8,[14921 16179 8214 16279 11667 7162 16622 16296],34,7,[]
519,1,[287],[2322],[1358 1357],[587 1038],[12 24],0,[],[],2,[14076 14348],15,10,[]
516,1,[308],[3070],[1357 1357],[1095 1095],[13 12 26 11],0,[],[],3,[6053 7252 15387],19,7,[]
418,0,[],[],[1357 1357],[1074 1321],[0 24],0,[],[],1,[17224],6,0,[]
516,1,[308],[4853],[1357 1357],[427 239],[13 12 18],1,[0],[3091],1,[12201],11,12,[88]
430,2,[1349 1563],[74 2427],[1773 400 393],[461 818 818],[13 12 19 18],0,[],[],2,[323 1284],0,9,[]
328,0,[],[],[732 730],[465 1038],[13 12 24],0,[],[],7,[13260 13258 13189 9962 776 3443 3442],38,15,[568]
331,0,[],[],[1287 1293],[1119 45],[13 12 24],3,[20 356 356],[139 140 139],2,[14879 17733],18,11,[198]
328,2,[0 2385],[3900 3691],[817 1285],[978 822],[8 5 13 12 26 11],0,[],[],2,[17573 8883],37,0,[244]
519,2,[2374 287],[1286 2241],[1538 1263],[978 978],[8 5 13 12 23 5 13 11],1,[159],[1313],4,[15920 1594 1085 12492],10,0,[]
517,0,[],[],[293 290],[1342 1342],[7 21],0,[],[],4,[17074 13129 3296 12707],6,4,[]
430,2,[1491 1491],[522 4209],[1646 401],[913 829],[7 18],3,[420 458 459],[2056 440 2440],0,[],0,10,[]
519,0,[],[],[1358 1358],[1321 1321],[12 24],0,[],[],5,[1981 16137 4253 14308 7910],19,15,[]
417,2,[2214 1558],[1141 4103],[1747 371],[909 1344],[7 18],0,[],[],1,[814],7,12,[]
519,0,[],[],[1357 1346],[638 628],[13 12 18],0,[],[],2,[4857 12697],15,3,[671]
516,1,[274],[2809],[1357 1358],[183 439],[7 26 11],0,[],[],3,[4490 14429 648],7,1,[]
328,0,[],[],[2040 2040],[666 822],[13 12 26 11],0,[],[],2,[8883 14937],47,11,[624]
332,0,[],[],[511 1288],[495 1306],[12 26 11],0,[],[],8,[16002 10426 14619 14169 16016 9201 492 15890],12,11,[]
517,0,[],[],[85 1265],[454 293],[7 24],2,[449 580],[743 743],1,[10652],14,12,[]
340,2,[739 1234],[2303 5154],[1226 1458],[1046 784],[5 13 12 24],1,[861],[2318],0,[],8,19,[]
418,0,[],[],[1358 1358],[83 83],[7 21],0,[],[],2,[11952 8028],24,11,[]
418,2,[1539 1539],[4131 4471],[1767 1357],[183 549],[7 24],0,[],[],0,[],15,12,[]
516,1,[2819],[2133],[1890 1890],[573 573],[12 24],1,[235],[1813],0,[],18,9,[]
519,0,[],[],[1246 1246],[679 679],[12 24],1,[590],[2024],5,[14103 16352 16433 17169 17131],27,11,[]
418,2,[369 34],[1372 1074],[1263],[203],[11],0,[],[],2,[11696 941],31,6,[244]
519,1,[2597],[780],[1357 313],[503 503],[5 13 12 20 13 11],4,[667 728 585 166],[1137 1136 1151 1141],1,[1924],9,3,[681]
418,0,[],[],[1278 1277],[503 475],[5 13 12 24],0,[],[],3,[1228 3550 5448],28,0,[223]
328,0,[],[],[1358],[670],[13 11],0,[],[],3,[16647 11444 12710],14,3,[]
328,0,[],[],[1357 1255],[250 670],[8 5 13 12 26 11],0,[],[],2,[10760 6493],47,0,[741]
516,2,[2827 38],[257 3288],[1422 1174 378],[717 638 638],[8 5 13 12 26 12 26 11],0,[],[],3,[5963 10176 272],5,0,[]
328,0,[],[],[2053 2053 0],[573 573 573],[12 25 24],2,[695 682],[1269 1268],3,[8793 2513 2512],31,8,[633]
516,0,[],[],[0 941],[213 213],[13 12 26 11],0,[],[],2,[17798 3159],0,0,[]
519,1,[2054],[949],[1336 881],[666 1071],[13 12 14],0,[],[],6,[8726 1706 11725 7954 9424 6620],5,16,[]
412,1,[2059],[1275],[603 949],[696 691],[13 12 24],3,[476 590 729],[1426 1511 1473],2,[13831 9804],11,0,[]
328,0,[],[],[1255 1336],[1342 203],[7 24],0,[],[],1,[5652],19,7,[]
328,0,[],[],[1252 1255],[171 797],[4 18],0,[],[],2,[6189 14024],6,11,[633]
430,3,[1346 493 338],[967 277 4263],[1644 1644 401 545],[1238 442 503 507],[0 25 20 13 12 14],0,[],[],2,[11907 1335],7,17,[]
430,2,[490 458],[68 2772],[397 398],[314 900],[12 18],2,[494 434],[3047 2758],2,[13290 4163],14,18,[]
518,1,[287],[3249],[1177 294],[461 461],[13 12 26 11],0,[],[],3,[18075 5827 11677],28,5,[109]
331,0,[],[],[1255 1336 0 0],[21 21 15 21],[13 12 26 12 27 26 11],0,[],[],1,[12828],29,10,[198]
519,0,[],[],[219 1354],[1321 1321],[12 24],0,[],[],3,[14970 826 15493],10,6,[]
412,5,[2160 2730 867 1053 2160],[516 586 687 1891 960],[926 1247],[442 328],[12 18],1,[426],[1929],0,[],4,8,[]
332,1,[2738],[1413],[1358 1283],[1087 679],[12 24],0,[],[],3,[517 16880 17904],55,0,[]
328,1,[3014],[3070],[1358 1358 1357],[592 591 591],[0 26 12 26 11],0,[],[],2,[11774 8812],2,7,[]
328,2,[1491 0],[3645 1835],[1358 1358],[978 503],[8 5 13 12 20 13 11],0,[],[],3,[16047 14036 7078],10,4,[]
517,0,[],[],[143 143 1265],[937 1314 1149],[0 26 12 24],0,[],[],2,[10327 1398],6,7,[]
328,0,[],[],[1538 1255],[1321 1221],[12 18],0,[],[],2,[12021 5636],23,10,[624]
430,3,[2013 87 1449],[237 58 4932],[1436 481],[468 370],[12 18],0,[],[],1,[17266],4,5,[393]
328,1,[2606],[1821],[1358],[21],[13 11],0,[],[],2,[11659 5669],18,6,[]
412,1,[2324],[746],[573],[31],[11],0,[],[],0,[],10,16,[]
412,2,[2067 602],[3774 1547],[397 471],[147 1282],[7 21],1,[590],[2757],1,[1133],4,0,[]
328,2,[2693 0],[3692 855],[1263 1347 1347],[1188 978 766],[7 23 5 13 12 14],0,[],[],4,[5696 17164 17217 3208],9,0,[]
519,0,[],[],[1357 1357 1357],[741 750 750],[0 26 12 26 11],0,[],[],1,[7300],11,15,[]
418,0,[],[],[1255 1336],[1119 679],[13 12 24],0,[],[],1,[547],21,4,[760]
418,1,[2870],[834],[1350 1355],[587 544],[12 24],0,[],[],3,[7418 5960 3593],10,8,[715]
418,0,[],[],[437 1357],[80 1030],[7 24],0,[],[],2,[14138 5663],9,26,[718]
516,1,[243],[4626],[1358 1357 294],[80 21 542],[7 26 12 26 11],0,[],[],5,[8287 5465 8238 7249 13952],10,14,[88]
516,0,[],[],[1357 1357],[1245 236],[12 18],0,[],[],5,[390 14992 10491 13251 11417],21,11,[763]
430,2,[2013 2013],[267 1658],[481 356 356],[784 798 784],[12 27 24],4,[0 0 675 175],[1762 196 1751 1742],1,[10158],11,7,[]
519,4,[900 900 1628 1628],[1999 734 3302 4672],[825 1286],[101 666],[7 26 11],0,[],[],4,[12071 12078 15467 11343],13,9,[]
418,0,[],[],[1357 1346],[499 787],[12 18],0,[],[],0,[],45,5,[546]
517,1,[0],[1940],[978 1265],[1063 510],[4 18],3,[458 31 458],[2322 1176 1175],3,[14895 13695 12033],3,7,[]
326,0,[],[],[123 1246],[1046 21],[5 13 12 26 11],0,[],[],2,[8245 11266],25,10,[]
